image_id,image_path,ground_truth,predicted,raw_answer,stderr,returncode
40010001.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010001.png,1,2,2,,0
40010011.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010011.png,1,2,2,,0
40010021.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010021.png,1,2,2,,0
40010029.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010029.png,1,2,2,,0
40010036.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010036.png,1,2,2,,0
40010037.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010037.png,1,2,2,,0
40010042.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010042.png,1,2,2,,0
40010049.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010049.png,1,2,2,,0
40010044.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010044.png,1,2,2,,0
40010054.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010054.png,1,2,2,,0
40010058.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010058.png,1,2,2,,0
40010064.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010064.png,1,2,2,,0
40010067.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010067.png,1,2,2,,0
40010084.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010084.png,1,2,2,,0
40010082.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010082.png,1,2,2,,0
40010089.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010089.png,1,2,2,,0
40010095.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010095.png,1,2,2,,0
40010098.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010098.png,1,2,2,,0
40010099.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010099.png,1,2,2,,0
40010105.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010105.png,1,2,2,,0
40010107.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010107.png,1,2,2,,0
40010106.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010106.png,1,2,2,,0
40010110.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010110.png,1,2,2,,0
40010114.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010114.png,1,2,2,,0
40010120.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010120.png,1,2,2,,0
40010123.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010123.png,1,2,2,,0
