index,image_id,image_path,ground_truth,predicted,raw_answer,stderr,returncode
0,40010001.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010001.png,1,0,0,,0
1,40010011.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010011.png,1,2,2,,0
2,40010021.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010021.png,1,0,0,,0
3,40010029.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010029.png,1,2,2,,0
4,40010036.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010036.png,1,0,0,,0
5,40010037.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010037.png,1,0,0,,0
6,40010042.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010042.png,1,0,0,,0
7,40010049.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010049.png,1,0,0,,0
8,40010044.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010044.png,1,0,0,,0
9,40010054.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010054.png,1,0,0,,0
10,40010058.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010058.png,1,0,0,,0
11,40010064.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010064.png,1,0,0,,0
12,40010067.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010067.png,1,0,0,,0
13,40010084.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010084.png,1,2,2,,0
14,40010082.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010082.png,1,0,0,,0
15,40010089.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010089.png,1,0,0,,0
16,40010095.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010095.png,1,2,2,,0
17,40010098.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010098.png,1,0,0,,0
18,40010099.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010099.png,1,0,0,,0
19,40010105.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010105.png,1,0,0,,0
20,40010107.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010107.png,1,0,0,,0
21,40010106.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010106.png,1,0,0,,0
22,40010110.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010110.png,1,0,0,,0
23,40010114.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010114.png,1,0,0,,0
24,40010120.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010120.png,1,0,0,,0
25,40010123.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010123.png,1,0,0,,0
26,40010135.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40010135.png,1,0,0,,0
27,40020002.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020002.png,1,0,0,,0
28,40020003.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020003.png,1,0,0,,0
29,40020019.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020019.png,1,0,0,,0
30,40020021.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020021.png,1,0,0,,0
31,40020022.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020022.png,1,0,0,,0
32,40020026.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020026.png,1,0,0,,0
33,40020034.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020034.png,1,0,0,,0
34,40020044.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020044.png,1,0,0,,0
35,40020045.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020045.png,1,0,0,,0
36,40020046.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020046.png,1,0,0,,0
37,40020049.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020049.png,1,0,0,,0
38,40020050.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020050.png,0,0,0,,0
39,40020058.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020058.png,1,0,0,,0
40,40020077.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020077.png,0,0,0,,0
41,40020078.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020078.png,0,0,0,,0
42,40020083.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020083.png,0,0,0,,0
43,40020073.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020073.png,0,0,0,,0
44,40020097.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020097.png,0,0,0,,0
45,40020086.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020086.png,0,0,0,,0
46,40020103.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020103.png,0,0,0,,0
47,40020105.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020105.png,0,0,0,,0
48,40020110.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020110.png,0,0,0,,0
49,40020122.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020122.png,1,0,0,,0
50,40020141.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020141.png,1,0,0,,0
51,40020148.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020148.png,1,0,0,,0
52,40020150.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020150.png,1,0,0,,0
53,40020119.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020119.png,1,0,0,,0
54,40020144.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020144.png,1,0,0,,0
55,40020153.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020153.png,1,0,0,,0
56,40020061.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020061.png,1,0,0,,0
57,40020167.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020167.png,0,0,0,,0
58,40020168.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020168.png,1,0,0,,0
59,40020174.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020174.png,0,0,0,,0
60,40020170.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020170.png,1,0,0,,0
61,40020182.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020182.png,1,0,0,,0
62,40020156.png,/home/ubuntu/SCB-05-Dataset/5k_HRW_Dataset_combined/images/val/40020156.png,1,0,0,,0
