clip_id,split,subject_id,engagement,frame_path,status
1100011002.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011002.jpg,ok
1100011003.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011003.jpg,ok
1100011004.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011004.jpg,ok
1100011005.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011005.jpg,ok
1100011006.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011006.jpg,ok
1100011007.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011007.jpg,ok
1100011008.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011008.jpg,ok
1100011009.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011009.jpg,ok
1100011010.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011010.jpg,ok
1100011011.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011011.jpg,ok
1100011012.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011012.jpg,ok
1100011013.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011013.jpg,ok
1100011014.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011014.jpg,ok
1100011015.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011015.jpg,ok
1100011016.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011016.jpg,ok
1100011017.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011017.jpg,ok
1100011018.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011018.jpg,ok
1100011019.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011019.jpg,ok
1100011020.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011020.jpg,ok
1100011021.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011021.jpg,ok
1100011022.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011022.jpg,ok
1100011023.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011023.jpg,ok
1100011025.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011025.jpg,ok
1100011026.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011026.jpg,ok
1100011027.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011027.jpg,ok
1100011028.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011028.jpg,ok
1100011029.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011029.jpg,ok
1100011031.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011031.jpg,ok
1100011032.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011032.jpg,ok
1100011034.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011034.jpg,ok
1100011035.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011035.jpg,ok
1100011037.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011037.jpg,ok
1100011038.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011038.jpg,ok
1100011040.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011040.jpg,ok
1100011046.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011046.jpg,ok
1100011047.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011047.jpg,ok
1100011048.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011048.jpg,ok
1100011049.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011049.jpg,ok
1100011050.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011050.jpg,ok
1100011051.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011051.jpg,ok
1100011052.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011052.jpg,ok
1100011053.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011053.jpg,ok
1100011054.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011054.jpg,ok
1100011055.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011055.jpg,ok
1100011056.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011056.jpg,ok
1100011057.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011057.jpg,ok
1100011058.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011058.jpg,ok
1100011059.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011059.jpg,ok
1100011060.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011060.jpg,ok
1100011062.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011062.jpg,ok
1100011063.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011063.jpg,ok
1100011064.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011064.jpg,ok
1100011066.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011066.jpg,ok
1100011067.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011067.jpg,ok
1100011068.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011068.jpg,ok
1100011069.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011069.jpg,ok
1100011070.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011070.jpg,ok
1100011071.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011071.jpg,ok
1100011072.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011072.jpg,ok
1100011073.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011073.jpg,ok
1100011075.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011075.jpg,ok
1100011076.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011076.jpg,ok
1100011078.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011078.jpg,ok
1100011079.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011079.jpg,ok
1100011080.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011080.jpg,ok
1100011081.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011081.jpg,ok
1100011082.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011082.jpg,ok
1100011083.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100011083.jpg,ok
1100012001.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012001.jpg,ok
1100012003.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012003.jpg,ok
1100012007.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012007.jpg,ok
1100012008.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012008.jpg,ok
1100012009.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012009.jpg,ok
1100012010.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012010.jpg,ok
1100012011.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012011.jpg,ok
1100012013.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012013.jpg,ok
1100012014.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012014.jpg,ok
1100012015.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012015.jpg,ok
1100012016.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012016.jpg,ok
1100012017.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012017.jpg,ok
1100012018.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012018.jpg,ok
1100012021.avi,Train,110001,2,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012021.jpg,ok
1100012022.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012022.jpg,ok
1100012023.avi,Train,110001,3,/Users/amangoyal/Documents/CVPR 2026 Workshop/frames_full/Train/1100012023.jpg,ok
