image_id,ground_truth,predicted,raw_answer
4003102.png,2,2,2
4003062.png,2,2,2
4001058.png,2,2,2
4003100.png,2,2,2
4001049.png,2,2,2
4002024.png,0,2,2
4003070.png,2,2,2
4003071.png,2,2,2
4003098.png,2,2,2
4003149.png,2,1,1
4002055.png,0,2,2
4003015.png,2,2,2
4001007.png,2,2,2
4003016.png,2,2,2
4003003.png,2,2,2
4002057.png,0,2,2
4002080.png,0,2,2
4002084.png,0,2,2
4002047.png,0,2,2
4003012.png,2,2,2
4001017.png,2,2,2
4001001.png,2,2,2
4001003.png,2,2,2
4003038.png,2,2,2
4001028.png,2,2,2
4003006.png,2,2,2
4002093.png,0,2,2
4003008.png,2,2,2
4003010.png,2,2,2
4002077.png,0,2,2
4002060.png,0,2,2
4001033.png,2,2,2
4002103.png,0,2,2
4002049.png,0,2,2
4001037.png,2,2,2
4002066.png,0,1,1
4002072.png,2,2,2
4003033.png,2,2,2
4003027.png,2,2,2
4002064.png,0,2,2
4002059.png,0,2,2
4002105.png,0,2,2
4003019.png,2,2,2
4002067.png,0,2,2
4001021.png,2,2,2
4001046.png,2,2,2
4003057.png,2,2,2
4002002.png,2,2,2
4002079.png,0,2,2
4003095.png,2,2,2
4003068.png,2,2,2
4003120.png,2,2,2
4003043.png,2,1,1
4003135.png,2,2,2
4003055.png,2,2,2
4001057.png,2,2,2
4003046.png,2,2,2
4003124.png,2,2,2
4002065.png,0,2,2
4003132.png,2,2,2
4003069.png,2,2,2
4001052.png,2,2,2
4003041.png,2,1,1
4002010.png,0,2,2
4001044.png,0,2,2
4003056.png,2,2,2
4003119.png,2,2,2
