clip_id,true_class,p1_sim_l0,p1_sim_l1,p1_sim_l2,p1_sim_l3,p1_argmax,p2_sim_l0,p2_sim_l1,p2_sim_l2,p2_sim_l3,p2_argmax,p3_sim_l0,p3_sim_l1,p3_sim_l2,p3_sim_l3,p3_argmax
9289010118.avi,3,0.26172345876693726,0.2551305890083313,0.26222777366638184,0.2614770531654358,2,0.2710903584957123,0.30359163880348206,0.3150830864906311,0.24784961342811584,2,0.23726627230644226,0.2421758770942688,0.26843175292015076,0.2906968593597412,3
9403280234.avi,3,0.20059897005558014,0.2058658003807068,0.22830000519752502,0.22676295042037964,2,0.21177637577056885,0.2580844461917877,0.2523711323738098,0.22937071323394775,1,0.22195398807525635,0.20588456094264984,0.2546355724334717,0.239044189453125,2
907001480.mp4,1,0.24955689907073975,0.27007225155830383,0.2694165110588074,0.26227712631225586,1,0.2264001965522766,0.28740090131759644,0.28386688232421875,0.2565231919288635,1,0.21733124554157257,0.2739748954772949,0.2517279088497162,0.24606402218341827,1
5100401078.avi,2,0.22237733006477356,0.23483826220035553,0.23980680108070374,0.22033530473709106,2,0.205426424741745,0.2599424123764038,0.24032944440841675,0.22400446236133575,1,0.2189440131187439,0.25365909934043884,0.2248067557811737,0.20497238636016846,1
5100342048.avi,1,0.20899450778961182,0.2062096893787384,0.25300973653793335,0.20162299275398254,2,0.2187977284193039,0.2626371681690216,0.24068942666053772,0.20547060668468475,1,0.23542949557304382,0.24156087636947632,0.26151371002197266,0.20379304885864258,2
8264120275.avi,3,0.2405838668346405,0.23718851804733276,0.25013139843940735,0.22717556357383728,2,0.25466781854629517,0.2769721746444702,0.26251158118247986,0.23256811499595642,1,0.25032564997673035,0.2528443932533264,0.26729607582092285,0.22199746966362,2
5100471023.avi,2,0.22893640398979187,0.22710642218589783,0.2480190098285675,0.20631065964698792,2,0.22756053507328033,0.2565382719039917,0.2485905885696411,0.20580482482910156,1,0.20371709764003754,0.23227643966674805,0.22660668194293976,0.20428355038166046,1
5100462023.avi,2,0.15737546980381012,0.18945233523845673,0.19566203653812408,0.17510758340358734,2,0.1785171926021576,0.21087795495986938,0.21193023025989532,0.17449498176574707,2,0.17724967002868652,0.20670200884342194,0.22795632481575012,0.19090743362903595,2
5100462031.avi,2,0.14890477061271667,0.18012818694114685,0.19919414818286896,0.1735418736934662,2,0.16732509434223175,0.2051129788160324,0.20956023037433624,0.1675644963979721,2,0.17606313526630402,0.20257121324539185,0.22553333640098572,0.19448712468147278,2
5000951033.avi,2,0.19087296724319458,0.21306279301643372,0.22479160130023956,0.1939840316772461,2,0.19706207513809204,0.2394666224718094,0.22439514100551605,0.1830238252878189,1,0.20433005690574646,0.21348831057548523,0.22602702677249908,0.18576504290103912,2
5100401071.avi,2,0.21791504323482513,0.2315586805343628,0.23583322763442993,0.21413907408714294,2,0.21105602383613586,0.26734796166419983,0.2466374784708023,0.22562700510025024,1,0.22225910425186157,0.24975280463695526,0.22693708539009094,0.20855481922626495,1
907001560.mp4,2,0.251008540391922,0.25840887427330017,0.25934910774230957,0.248580664396286,2,0.23473811149597168,0.2757400870323181,0.27321815490722656,0.23823457956314087,1,0.22708134353160858,0.2749857008457184,0.25978171825408936,0.23827068507671356,1
5100472014.avi,2,0.217237651348114,0.21165230870246887,0.24341410398483276,0.2028810977935791,2,0.19330193102359772,0.24722066521644592,0.24125885963439941,0.19584058225154877,1,0.19532173871994019,0.23546701669692993,0.22158294916152954,0.19471488893032074,1
8264120266.avi,1,0.24512028694152832,0.2457697093486786,0.23964786529541016,0.22293967008590698,1,0.25035545229911804,0.27034619450569153,0.2503480911254883,0.22154366970062256,1,0.24804869294166565,0.2590612471103668,0.2554912865161896,0.23587526381015778,1
5000952036.avi,2,0.1861349642276764,0.20553265511989594,0.22150211036205292,0.18689104914665222,2,0.19713616371154785,0.24352912604808807,0.2197066992521286,0.18291503190994263,1,0.20307421684265137,0.21542327105998993,0.21936003863811493,0.17765751481056213,2
5100351002.avi,1,0.2145175039768219,0.2124667763710022,0.23638848960399628,0.22261236608028412,2,0.1941249668598175,0.24704556167125702,0.22475363314151764,0.2175273299217224,1,0.2189694046974182,0.2556551694869995,0.2613945007324219,0.20026591420173645,2
5000671042.avi,1,0.20693978667259216,0.22400206327438354,0.21981024742126465,0.201703280210495,1,0.20661848783493042,0.25593000650405884,0.2428337186574936,0.20833870768547058,1,0.19275879859924316,0.23112183809280396,0.21083970367908478,0.19517363607883453,1
5100422060.avi,2,0.19339025020599365,0.2227550446987152,0.22925662994384766,0.2120734453201294,2,0.18728017807006836,0.2357211410999298,0.24052980542182922,0.21672531962394714,2,0.19379305839538574,0.22758032381534576,0.22821727395057678,0.20619365572929382,2
5100381004.avi,2,0.21778377890586853,0.24358132481575012,0.2311996966600418,0.216000035405159,1,0.19574394822120667,0.2416730523109436,0.23017461597919464,0.215571328997612,1,0.21791844069957733,0.2562558054924011,0.22464242577552795,0.19513627886772156,1
5000442019.avi,2,0.20858485996723175,0.23728886246681213,0.23654401302337646,0.2196340262889862,1,0.2083275318145752,0.25249019265174866,0.25451260805130005,0.21196165680885315,2,0.22525560855865479,0.24677124619483948,0.24886369705200195,0.22435054183006287,2
5100462011.avi,3,0.16429169476032257,0.18896012008190155,0.19947701692581177,0.18486224114894867,2,0.1611303985118866,0.21266630291938782,0.21034762263298035,0.17890027165412903,1,0.17790362238883972,0.2161775827407837,0.2268611192703247,0.17956086993217468,2
5100452049.avi,3,0.21586830914020538,0.2146221101284027,0.25442561507225037,0.2255653738975525,2,0.19555354118347168,0.23803654313087463,0.234989732503891,0.20313751697540283,1,0.2089405357837677,0.24436046183109283,0.25616738200187683,0.21965241432189941,2
5100342036.avi,1,0.2392321079969406,0.22160422801971436,0.24276380240917206,0.23431222140789032,2,0.2456754893064499,0.27371543645858765,0.25281351804733276,0.24703790247440338,1,0.2716867923736572,0.2698096036911011,0.2906087636947632,0.22345712780952454,2
5100461007.avi,1,0.16620971262454987,0.19560755789279938,0.20088443160057068,0.1880216896533966,2,0.15206082165241241,0.19281525909900665,0.21201734244823456,0.17521192133426666,2,0.1669919639825821,0.21789300441741943,0.21899841725826263,0.177662193775177,2
9877360140.avi,3,0.25518903136253357,0.2641049027442932,0.2592487335205078,0.24283866584300995,1,0.2222501039505005,0.2781011164188385,0.2545892596244812,0.22970832884311676,1,0.2543429136276245,0.2619733214378357,0.27722081542015076,0.24776338040828705,2
5100462032.avi,2,0.15306314826011658,0.17943891882896423,0.19392558932304382,0.1772598922252655,2,0.16402585804462433,0.20404179394245148,0.20479148626327515,0.17083999514579773,2,0.1750417798757553,0.20659977197647095,0.22608475387096405,0.18408089876174927,2
5100401023.avi,1,0.2141779065132141,0.2310960590839386,0.2351323813199997,0.21413452923297882,2,0.20266729593276978,0.2611546516418457,0.2429163157939911,0.22374649345874786,1,0.21124206483364105,0.24497978389263153,0.2162645161151886,0.20276880264282227,1
5100351039.avi,3,0.21240803599357605,0.19862762093544006,0.23490871489048004,0.2058258056640625,2,0.2256152480840683,0.2622692286968231,0.23060983419418335,0.21885564923286438,1,0.24104145169258118,0.24168169498443604,0.2637277841567993,0.2012445330619812,2
5000671041.avi,1,0.20410966873168945,0.2249809056520462,0.2215190827846527,0.20070993900299072,1,0.21259666979312897,0.26182201504707336,0.2500486969947815,0.207325279712677,1,0.20144419372081757,0.22793635725975037,0.2228737622499466,0.20238077640533447,1
5100362028.avi,3,0.2208535075187683,0.21036693453788757,0.2459031343460083,0.21446412801742554,2,0.21086518466472626,0.25570324063301086,0.2503960430622101,0.20630207657814026,1,0.22427086532115936,0.23220115900039673,0.24271054565906525,0.23264344036579132,2
5100451041.avi,3,0.22459864616394043,0.22028246521949768,0.250552773475647,0.22175800800323486,2,0.21650400757789612,0.24798382818698883,0.24186250567436218,0.2053116112947464,1,0.2235528975725174,0.2499609887599945,0.2610616385936737,0.219712495803833,2
5100371024.avi,2,0.21433758735656738,0.21467310190200806,0.227292001247406,0.2053690254688263,2,0.19943122565746307,0.2512170076370239,0.24374523758888245,0.21325910091400146,1,0.2005724161863327,0.24466925859451294,0.21994750201702118,0.21107825636863708,1
8264120268.avi,3,0.23045721650123596,0.24111463129520416,0.241903156042099,0.2184297889471054,2,0.23223736882209778,0.2629536986351013,0.25320494174957275,0.23077240586280823,1,0.23104500770568848,0.2484118640422821,0.2466970980167389,0.21665111184120178,1
8264120231.avi,1,0.22926363348960876,0.23680926859378815,0.24263422191143036,0.21683594584465027,2,0.24105539917945862,0.26347941160202026,0.24465924501419067,0.2262382060289383,1,0.23939138650894165,0.2444845736026764,0.2466101497411728,0.21578361093997955,2
826412013.avi,1,0.22382523119449615,0.24732816219329834,0.23887521028518677,0.22071297466754913,1,0.2354264259338379,0.2578153610229492,0.24079251289367676,0.23296208679676056,1,0.24204909801483154,0.23516488075256348,0.25165003538131714,0.22808876633644104,2
5100462012.avi,2,0.1500709354877472,0.17791040241718292,0.18940985202789307,0.1716541200876236,2,0.16360589861869812,0.19923289120197296,0.19783464074134827,0.16505412757396698,1,0.16908013820648193,0.20328998565673828,0.22428511083126068,0.17696940898895264,2
5100452016.avi,1,0.22764013707637787,0.22316695749759674,0.253915399312973,0.22428883612155914,2,0.2037738561630249,0.24392488598823547,0.24567261338233948,0.20827160775661469,2,0.21297433972358704,0.24921196699142456,0.2532406747341156,0.22088921070098877,2
5100402001.avi,1,0.21786688268184662,0.22900830209255219,0.23884046077728271,0.21940693259239197,2,0.21176286041736603,0.26156920194625854,0.25151365995407104,0.2191835641860962,1,0.22705699503421783,0.2474658340215683,0.2459172010421753,0.21309462189674377,1
5000952083.avi,1,0.18352483212947845,0.20510415732860565,0.21892055869102478,0.18633893132209778,2,0.19003242254257202,0.22880315780639648,0.21725083887577057,0.17991632223129272,1,0.198293536901474,0.21080154180526733,0.2131386548280716,0.18576455116271973,2
8264120123.avi,1,0.2121264785528183,0.22694328427314758,0.2354414463043213,0.2014477550983429,2,0.17790985107421875,0.23500490188598633,0.22847336530685425,0.20020389556884766,1,0.20605358481407166,0.21566861867904663,0.2362150102853775,0.19012904167175293,2
8264120284.avi,1,0.24397969245910645,0.24749025702476501,0.23333145678043365,0.21842294931411743,1,0.24325931072235107,0.2681587338447571,0.24020278453826904,0.23138318955898285,1,0.25221261382102966,0.2583902180194855,0.254830002784729,0.21175643801689148,1
9289010115.avi,3,0.2501983940601349,0.23643611371517181,0.25088703632354736,0.2483849674463272,2,0.24578894674777985,0.29045724868774414,0.3065515458583832,0.23315411806106567,2,0.22416764497756958,0.22753497958183289,0.25656408071517944,0.27925169467926025,3
5100091069.avi,3,0.2180095911026001,0.22672589123249054,0.25992676615715027,0.22731444239616394,2,0.18788641691207886,0.23088234663009644,0.22496473789215088,0.2101646065711975,1,0.20929251611232758,0.2618703246116638,0.26011431217193604,0.20607516169548035,1
5100381017.avi,2,0.23442897200584412,0.2538966238498688,0.2359549105167389,0.22475287318229675,1,0.21231964230537415,0.24757175147533417,0.23464950919151306,0.22791790962219238,1,0.23427268862724304,0.27068641781806946,0.2385600507259369,0.2015121579170227,1
