clip_id,raw_answer,predicted,ground_truth
9289010118.avi,yes,2,3
9403280234.avi,yes,2,3
907001480.mp4,lot,2,1
5100401078.avi,yes,2,2
5100342048.avi,yes,2,1
8264120275.avi,yes,2,3
5100471023.avi,yes,2,2
5100462023.avi,no,0,2
5100462031.avi,no,0,2
5000951033.avi,yes,2,2
5100401071.avi,yes,2,2
907001560.mp4,lot,2,2
5100472014.avi,yes,2,2
8264120266.avi,no,0,1
5000952036.avi,yes,2,2
5100351002.avi,yes,2,1
5000671042.avi,no,0,1
5100422060.avi,lot,2,2
5100381004.avi,yes,2,2
5000442019.avi,yes,2,2
5100462011.avi,lot,2,3
5100452049.avi,yes,2,3
5100342036.avi,yes,2,1
5100461007.avi,lot,2,1
9877360140.avi,little,1,3
5100462032.avi,lot,2,2
5100401023.avi,yes,2,1
5100351039.avi,yes,2,3
5000671041.avi,no,0,1
5100362028.avi,yes,2,3
5100451041.avi,yes,2,3
5100371024.avi,yes,2,2
8264120268.avi,yes,2,3
8264120231.avi,yes,2,1
826412013.avi,lot,2,1
5100462012.avi,lot,2,2
5100452016.avi,yes,2,1
5100402001.avi,yes,2,1
5000952083.avi,yes,2,1
8264120123.avi,yes,2,1
8264120284.avi,yes,2,1
9289010115.avi,yes,2,3
5100091069.avi,yes,2,3
5100381017.avi,yes,2,2
5100422041.avi,lot,2,2
5100402020.avi,yes,2,2
5000951067.avi,yes,2,2
5100091051.avi,yes,2,2
9289010274.avi,yes,2,3
5100091059.avi,yes,2,2
5100092057.avi,yes,2,2
5000671057.avi,no,0,2
5100092071.avi,yes,2,3
987736024.avi,little,1,2
9877360241.avi,little,1,3
5100091049.avi,yes,2,1
9877360143.avi,little,1,3
5000671033.avi,lot,2,3
8264120120.avi,little,1,1
8264120239.avi,lot,2,1
8264120211.avi,yes,2,1
88265402200.mp4,little,1,3
5000952046.avi,yes,2,3
9877360120.avi,lot,2,1
9289010152.avi,yes,2,1
5000671005.avi,lot,2,2
88265402340.mp4,little,1,2
9403280229.avi,yes,2,3
5000441024.avi,no,0,1
5100341028.avi,yes,2,2
5000671048.avi,lot,2,1
5000672013.avi,lot,2,3
5100382003.avi,yes,2,3
5100381002.avi,yes,2,3
5100382013.avi,yes,2,3
5000671030.avi,lot,2,3
5000442054.avi,yes,2,3
8264120139.avi,yes,2,3
826412019.avi,yes,2,2
5100461064.avi,lot,2,3
9877360215.avi,little,1,3
9289010269.avi,yes,2,3
5000441058.avi,no,0,1
5100422046.avi,lot,2,3
5000671020.avi,lot,2,2
5100341061.avi,yes,2,2
5000671058.avi,lot,2,1
5000441067.avi,yes,2,1
9070011060.mp4,little,1,3
5000951039.avi,yes,2,2
5100381003.avi,yes,2,3
907001670.mp4,lot,2,3
9403280271.avi,yes,2,1
9877360270.avi,little,1,1
5100402024.avi,yes,2,3
5100402063.avi,yes,2,1
8264120232.avi,lot,2,2
5100342024.avi,yes,2,1
928901014.avi,yes,2,1
88265402230.mp4,little,1,2
5000441021.avi,yes,2,3
5100092008.avi,yes,2,3
5000441051.avi,yes,2,2
5000672077.avi,yes,2,2
5100352030.avi,yes,2,3
9877360258.avi,lot,2,2
5100462053.avi,lot,2,3
90700170.mp4,yes,2,3
5100092067.avi,yes,2,3
5100422006.avi,lot,2,3
88265402900.mp4,lot,2,3
8264120279.avi,lot,2,1
5100451049.avi,yes,2,3
9877360172.avi,little,1,1
5100351022.avi,yes,2,0
9403280251.avi,yes,2,2
9877360157.avi,little,1,1
5100462071.avi,yes,2,2
9289010145.avi,yes,2,1
5100401034.avi,yes,2,1
5100422071.avi,lot,2,3
8264120269.avi,yes,2,1
5000671050.avi,lot,2,2
8264120169.avi,yes,2,1
5100461057.avi,lot,2,2
5100401026.avi,yes,2,3
5100352031.avi,yes,2,3
8264120254.avi,yes,2,1
88265402880.mp4,lot,2,2
5000672012.avi,lot,2,2
5000951047.avi,yes,2,2
5100422073.avi,lot,2,2
9877360185.avi,little,1,2
5100372011.avi,yes,2,3
9877360127.avi,little,1,2
5100472021.avi,yes,2,3
5100451027.avi,yes,2,3
8264120240.avi,yes,2,0
5000951027.avi,yes,2,1
5100402015.avi,yes,2,2
9403280246.avi,yes,2,3
9289010114.avi,yes,2,1
5100351042.avi,yes,2,1
5000671038.avi,lot,2,2
88265401660.mp4,little,1,3
907001310.mp4,lot,2,3
5100452023.avi,yes,2,2
8264120127.avi,yes,2,1
8264120263.avi,yes,2,1
5100471012.avi,yes,2,2
5100091012.avi,yes,2,2
5000442015.avi,yes,2,2
5100381037.avi,yes,2,2
5100091025.avi,yes,2,2
5100092040.avi,yes,2,3
5000952015.avi,yes,2,3
5100351004.avi,yes,2,2
5100471045.avi,yes,2,2
5100382011.avi,yes,2,3
8264120136.avi,yes,2,2
9403280241.avi,yes,2,3
5100471069.avi,yes,2,3
5000672019.avi,lot,2,3
5000952038.avi,yes,2,3
5100351010.avi,yes,2,2
5000951024.avi,yes,2,1
5100472001.avi,yes,2,1
5000952062.avi,yes,2,1
5100361056.avi,yes,2,2
5000952077.avi,yes,2,2
5100401065.avi,yes,2,1
9403280260.avi,yes,2,3
5100471080.avi,yes,2,2
5100342008.avi,yes,2,2
5100381054.avi,lot,2,2
9289010210.avi,yes,2,3
5100462045.avi,lot,2,2
9289010276.avi,yes,2,1
9877360234.avi,lot,2,3
5100401062.avi,yes,2,3
5000672048.avi,no,0,2
5000671070.avi,lot,2,1
8264120156.avi,yes,2,1
907001950.mp4,yes,2,1
88265402690.mp4,yes,2,3
5100401043.avi,yes,2,1
998826011.avi,yes,2,3
5100461038.avi,no,0,2
5100092061.avi,yes,2,3
5100421026.avi,lot,2,3
8264120132.avi,yes,2,2
5100341033.avi,yes,2,2
88265401740.mp4,little,1,3
88265401750.mp4,little,1,1
5100472005.avi,yes,2,2
88265401190.mp4,lot,2,3
8264120229.avi,yes,2,2
5100342022.avi,yes,2,0
5000671065.avi,no,0,2
5100471047.avi,yes,2,3
5000951015.avi,yes,2,3
5000441009.avi,yes,2,3
8264120150.avi,yes,2,1
9403280138.avi,yes,2,2
5000952064.avi,yes,2,3
5000441046.avi,yes,2,3
5100402062.avi,yes,2,1
8264120243.avi,yes,2,1
5100341038.avi,yes,2,2
5100341043.avi,yes,2,1
5100472027.avi,yes,2,3
5100381058.avi,yes,2,2
987736017.avi,lot,2,2
5000671061.avi,lot,2,1
5000671010.avi,lot,2,3
5100381008.avi,yes,2,2
9877360147.avi,little,1,3
5000952054.avi,yes,2,2
5000952034.avi,yes,2,1
88265402660.mp4,yes,2,3
5100401011.avi,yes,2,2
8264120282.avi,yes,2,1
5100462003.avi,lot,2,1
5100451004.avi,yes,2,3
5000672052.avi,lot,2,3
5100472054.avi,yes,2,2
5000671047.avi,lot,2,2
88265401490.mp4,little,1,3
8264120116.avi,yes,2,1
8264120256.avi,yes,2,1
5100342028.avi,yes,2,1
5100092002.avi,yes,2,3
88265401260.mp4,lot,2,3
9877360256.avi,lot,2,1
9403280245.avi,yes,2,3
5100401016.avi,yes,2,2
5000951019.avi,yes,2,1
5100342023.avi,yes,2,1
5000671022.avi,lot,2,2
5000671063.avi,lot,2,2
5100381021.avi,yes,2,2
5000671069.avi,lot,2,1
5100422034.avi,lot,2,2
5100381023.avi,yes,2,3
5100091028.avi,yes,2,2
5000441059.avi,yes,2,2
