clip_id,predicted,ground_truth
9289010118.avi,2,3
9403280234.avi,2,3
907001480.mp4,2,1
5100401078.avi,2,2
5100342048.avi,2,1
8264120275.avi,2,3
5100471023.avi,2,2
5100462023.avi,2,2
5100462031.avi,2,2
5000951033.avi,2,2
5100401071.avi,2,2
907001560.mp4,2,2
5100472014.avi,2,2
8264120266.avi,2,1
5000952036.avi,2,2
5100351002.avi,2,1
5000671042.avi,2,1
5100422060.avi,2,2
5100381004.avi,2,2
5000442019.avi,2,2
5100462011.avi,2,3
5100452049.avi,2,3
5100342036.avi,2,1
5100461007.avi,2,1
9877360140.avi,2,3
5100462032.avi,2,2
5100401023.avi,2,1
5100351039.avi,2,3
5000671041.avi,2,1
5100362028.avi,2,3
5100451041.avi,2,3
5100371024.avi,2,2
8264120268.avi,2,3
8264120231.avi,2,1
826412013.avi,2,1
5100462012.avi,2,2
5100452016.avi,2,1
5100402001.avi,2,1
5000952083.avi,2,1
8264120123.avi,2,1
8264120284.avi,2,1
9289010115.avi,2,3
5100091069.avi,2,3
5100381017.avi,2,2
5100422041.avi,2,2
5100402020.avi,2,2
5000951067.avi,2,2
5100091051.avi,2,2
9289010274.avi,2,3
5100091059.avi,2,2
5100092057.avi,2,2
5000671057.avi,2,2
5100092071.avi,2,3
987736024.avi,2,2
9877360241.avi,2,3
5100091049.avi,2,1
9877360143.avi,2,3
5000671033.avi,2,3
8264120120.avi,2,1
8264120239.avi,2,1
8264120211.avi,2,1
88265402200.mp4,2,3
5000952046.avi,2,3
9877360120.avi,2,1
9289010152.avi,2,1
5000671005.avi,2,2
88265402340.mp4,2,2
9403280229.avi,2,3
5000441024.avi,2,1
5100341028.avi,2,2
5000671048.avi,2,1
5000672013.avi,2,3
5100382003.avi,2,3
5100381002.avi,2,3
5100382013.avi,2,3
5000671030.avi,2,3
5000442054.avi,2,3
8264120139.avi,2,3
826412019.avi,2,2
5100461064.avi,2,3
9877360215.avi,2,3
9289010269.avi,2,3
