encoder,k,id_acc,lr_kq,lr_ci_lo,lr_ci_hi,rd_kq,rd_ci_lo,rd_ci_hi
CLIP_ViT-B32,0,0.9981801637852593,0.05476083308244695,0.013801264221078616,0.09082003836372125,0.09823989228750318,0.06156124064237893,0.13362105617716444
CLIP_ViT-B32,1,0.9981801637852593,0.05339843776391573,0.0184330557428625,0.08892992541961206,0.10076143402649773,0.0632167369165805,0.1400114453871518
CLIP_ViT-B32,2,0.9981801637852593,0.054547334677627735,0.018467953502103295,0.09240650051393418,0.09641958372323334,0.05983991996103622,0.13352814156659204
CLIP_ViT-B32,3,0.9981801637852593,0.08131975554093729,0.04815833211389202,0.11788315764314998,0.10119842340337637,0.0623760145130247,0.1399795756717176
CLIP_ViT-B32,5,0.9981801637852593,0.08577439812449295,0.04905737798162185,0.12260612747620185,0.0645066300620194,0.026092270538261252,0.1040777989085283
CLIP_ViT-B32,7,0.9981801637852593,0.0635499430192844,0.02866890356535388,0.09916721360210728,0.05394031182014325,0.014955612820192633,0.09323830185867951
CLIP_ViT-B32,10,0.997270245677889,0.06955552948420185,0.03402823072748759,0.10309937993260557,0.014177678731664645,-0.025949997801420436,0.054315968852848284
CLIP_ViT-B32,15,0.9981801637852593,0.09578699224794573,0.06104223237922358,0.12858860203162112,0.04361434714665913,0.00863822469115301,0.0815435542105731
CLIP_ViT-B32,20,0.9936305732484076,0.08333444593576811,0.05067120224341028,0.1149390913515339,0.024613853723257195,-0.02022719030666097,0.06756508559498739
CLIP_ViT-B32,30,0.9563239308462238,0.04159584080171663,0.01090159836832355,0.07644526669865934,0.014435008465183974,-0.0281327376288932,0.05582648165539604
CLIP_ViT-B32,50,0.6888080072793449,0.010904804418425451,-0.019192557570446966,0.03975712684398132,0.01011566861581803,-0.03480520934828829,0.05048138788427163
CLIP_ViT-B32,69,0.24931756141947226,0.037126628469527634,0.011798166253360878,0.06312227833078231,0.01960856601704164,-0.015400316739983105,0.055043759094316594
DINOv2_ViT-B14,0,0.9963603275705186,0.10698907535215307,0.0702435562570482,0.14133478197164068,0.08988472484882204,0.04597071936324934,0.1354986074064661
DINOv2_ViT-B14,1,0.9963603275705186,0.11872837285874227,0.078673551987651,0.15676857288513593,0.08779554400281764,0.03960142794885575,0.1345065856430802
DINOv2_ViT-B14,2,0.997270245677889,0.12374257620360285,0.08882803262952059,0.1582446527879577,0.08896245685708248,0.04035078173897489,0.1326997659926382
DINOv2_ViT-B14,3,0.9963603275705186,0.10703884324726864,0.07222244440463366,0.14354109134920498,0.08759531337176873,0.03935223652719691,0.1320741503832993
DINOv2_ViT-B14,5,0.9963603275705186,0.11954203217923176,0.08607082667309728,0.1554070471398936,0.1256928482404004,0.07727413810204829,0.16994956266921116
DINOv2_ViT-B14,7,0.9954504094631483,0.11337870650782866,0.08120796706589552,0.14777671579015553,0.09939968963259149,0.05432031129243833,0.14415376419499998
DINOv2_ViT-B14,10,0.9945404913557779,0.043191213043046406,0.0061702727887334744,0.07893260786790575,0.09203518627844409,0.050189565000750655,0.13695074757655742
DINOv2_ViT-B14,15,0.9927206551410374,0.03807462314687937,0.0003206353462786086,0.07570968069392742,0.09318041330252103,0.04572903842524833,0.13936607270559187
DINOv2_ViT-B14,20,0.991810737033667,0.015328113541014599,-0.024215623552288856,0.05366259539848382,0.0765335346539262,0.033802212170749864,0.12491549169790604
DINOv2_ViT-B14,30,0.9881710646041856,0.029159285050253447,-0.008590653227691874,0.0652520064246452,0.08408798540217144,0.04131985032124342,0.12635868742968973
DINOv2_ViT-B14,50,0.8817106460418562,0.06020546681157335,0.028937323265387192,0.09275127454437179,0.08759602934829513,0.04286921874692371,0.1356398415127374
DINOv2_ViT-B14,69,0.09645131938125569,0.08259194427065397,0.054461457107467914,0.11046359552049942,0.06823199045919359,0.024429351612102825,0.11128552513282287
